,HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result
4807,Derby,Sunderland,H,3,5,3,4,0.7836456558773424,1.1851851851851851,1.0864197530864197,0.8517887563884157,1
4808,Ipswich,Leeds,A,6,3,3,4,1.0562180579216354,0.7407407407407407,1.3827160493827158,0.7495741056218058,-1
4809,Leicester,Chelsea,H,5,4,2,7,0.9540034071550255,1.1358024691358024,1.1851851851851851,0.8517887563884157,1
4810,Liverpool,West Ham,H,10,3,5,3,1.362862010221465,0.6913580246913579,1.037037037037037,1.0221465076660987,1
4811,Man United,Everton,H,1,1,2,5,1.6695059625212947,0.5925925925925926,0.7901234567901233,1.090289608177172,1
4812,Middlesbrough,Man City,D,6,3,4,2,0.6132879045996592,1.1358024691358024,1.037037037037037,1.1584327086882453,0
4813,Tottenham,Charlton,D,3,2,2,3,1.0562180579216354,0.7901234567901233,0.9382716049382716,1.2947189097103917,0
4814,Everton,Leeds,D,4,5,4,7,0.9880749574105622,1.3333333333333333,1.3827160493827158,0.7495741056218058,0
4815,Arsenal,Ipswich,H,10,3,11,3,1.533219761499148,0.6419753086419753,1.2839506172839505,0.9199318568994889,1
4816,Aston Villa,Middlesbrough,D,4,3,7,4,0.9199318568994889,0.9876543209876542,1.2839506172839505,0.7155025553662692,0
4817,Chelsea,Man United,D,4,6,3,8,1.4991482112436116,0.9876543209876542,1.4814814814814814,0.6473594548551959,0
4818,Everton,Leicester,H,6,2,7,2,0.9880749574105622,1.3333333333333333,0.5432098765432098,0.9540034071550255,1
4819,Leeds,Derby,D,6,2,17,4,1.2265758091993184,1.037037037037037,0.6913580246913579,1.192504258943782,0
4820,Man City,Tottenham,A,4,4,7,3,0.6814310051107325,1.5308641975308641,0.7901234567901233,1.2947189097103917,-1
4821,Southampton,Bradford,H,6,1,8,0,0.9199318568994889,1.0864197530864197,0.4938271604938271,1.3969335604770017,1
4822,Sunderland,Liverpool,D,6,4,9,6,0.817717206132879,0.7901234567901233,1.5308641975308641,0.8517887563884157,0
4823,Charlton,Newcastle,H,4,3,4,11,1.0562180579216354,0.9382716049382716,0.8888888888888887,1.1243611584327087,1
4824,West Ham,Coventry,D,9,4,5,4,0.817717206132879,0.9876543209876542,1.0864197530864197,1.362862010221465,0
4825,Bradford,West Ham,A,5,5,7,1,0.6814310051107325,1.4320987654320987,1.037037037037037,1.0221465076660987,-1
4826,Coventry,Charlton,D,7,7,3,7,0.47700170357751276,1.1358024691358024,0.9382716049382716,1.2947189097103917,0
4827,Derby,Aston Villa,H,5,7,1,9,0.7836456558773424,1.1851851851851851,0.9382716049382716,0.7836456558773424,1
4828,Ipswich,Everton,H,6,2,3,2,1.0562180579216354,0.7407407407407407,0.7901234567901233,1.090289608177172,1
4829,Leicester,Sunderland,H,7,3,6,5,0.9540034071550255,1.1358024691358024,1.0864197530864197,0.8517887563884157,1
4830,Middlesbrough,Southampton,A,6,5,3,6,0.6132879045996592,1.1358024691358024,0.6419753086419753,0.8858603066439523,-1
4831,Newcastle,Man City,A,3,3,5,5,0.8858603066439523,0.8395061728395061,1.037037037037037,1.1584327086882453,-1
4832,Tottenham,Leeds,A,4,9,5,12,1.0562180579216354,0.7901234567901233,1.3827160493827158,0.7495741056218058,-1
4833,Man United,Arsenal,H,9,2,3,3,1.6695059625212947,0.5925925925925926,0.8888888888888887,0.8517887563884157,1
